iter	Passed	Remaining
0	148	148795
1	150	74866
2	150	50130
3	151	37749
4	152	30349
5	153	25436
6	154	21956
7	155	19304
8	156	17224
9	157	15560
10	157	14197
11	158	13064
12	159	12113
13	160	11313
14	161	10599
15	162	9973
16	162	9422
17	163	8930
18	164	8497
19	165	8104
20	166	7752
21	167	7435
22	168	7146
23	169	6878
24	169	6626
25	170	6394
26	171	6178
27	172	5982
28	173	5797
29	173	5622
30	174	5461
31	175	5311
32	176	5169
33	177	5036
34	178	4913
35	178	4792
36	179	4678
37	180	4571
38	181	4473
39	182	4382
40	183	4296
41	184	4208
42	185	4123
43	186	4046
44	186	3967
45	187	3893
46	188	3823
47	189	3756
48	190	3691
49	190	3627
50	191	3567
51	192	3507
52	193	3453
53	194	3400
54	195	3352
55	196	3308
56	197	3263
57	198	3216
58	198	3172
59	199	3127
60	200	3083
61	201	3044
62	202	3004
63	202	2965
64	203	2927
65	204	2890
66	205	2854
67	205	2820
68	206	2787
69	207	2758
70	208	2726
71	209	2695
72	209	2664
73	210	2637
74	211	2612
75	212	2588
76	213	2562
77	214	2537
78	215	2513
79	216	2488
80	217	2463
81	217	2440
82	218	2412
83	219	2392
84	220	2371
85	221	2349
86	221	2328
87	222	2307
88	223	2288
89	224	2268
90	225	2251
91	226	2234
92	227	2216
93	228	2198
94	229	2181
95	229	2163
96	230	2145
97	231	2128
98	232	2112
99	232	2096
100	233	2080
101	234	2064
102	235	2048
103	235	2032
104	236	2018
105	237	2005
106	238	1991
107	239	1977
108	240	1967
109	241	1956
110	242	1943
111	243	1930
112	244	1917
113	245	1904
114	245	1891
115	246	1878
116	247	1864
117	247	1852
118	248	1841
119	249	1829
120	250	1819
121	251	1806
122	251	1795
123	252	1784
124	253	1773
125	254	1763
126	254	1752
127	256	1745
128	257	1736
129	257	1726
130	258	1715
131	259	1705
132	260	1695
133	260	1685
134	261	1677
135	262	1667
136	263	1658
137	263	1648
138	264	1639
139	265	1630
140	266	1622
141	266	1612
142	267	1605
143	268	1597
144	269	1590
145	270	1583
146	271	1576
147	272	1568
148	273	1560
149	274	1553
150	274	1545
151	275	1538
152	276	1530
153	277	1523
154	278	1515
155	278	1508
156	279	1502
157	280	1495
158	281	1488
159	282	1481
160	282	1472
161	283	1466
162	284	1459
163	285	1454
164	286	1451
165	287	1445
166	288	1438
167	289	1431
168	289	1425
169	290	1418
170	291	1413
171	292	1407
172	293	1402
173	294	1396
174	294	1390
175	295	1384
176	296	1378
177	297	1373
178	298	1367
179	298	1361
180	300	1357
181	301	1353
182	301	1347
183	302	1342
184	303	1337
185	304	1332
186	305	1326
187	305	1321
188	306	1316
189	307	1310
190	308	1305
191	308	1300
192	309	1294
193	310	1289
194	311	1285
195	312	1280
196	312	1275
197	313	1270
198	314	1265
199	315	1262
200	316	1259
201	317	1254
202	318	1249
203	319	1245
204	319	1240
205	320	1235
206	321	1231
207	322	1226
208	323	1222
209	323	1218
210	324	1213
211	325	1209
212	326	1205
213	326	1200
214	327	1196
215	328	1192
216	329	1188
217	330	1185
218	331	1181
219	331	1177
220	332	1173
221	333	1168
222	334	1164
223	335	1160
224	335	1156
225	336	1152
226	337	1148
227	338	1144
228	338	1141
229	339	1137
230	340	1133
231	341	1130
232	342	1126
233	343	1122
234	343	1119
235	344	1116
236	345	1113
237	346	1109
238	347	1106
239	348	1102
240	348	1098
241	349	1095
242	350	1091
243	351	1087
244	351	1084
245	352	1080
246	353	1077
247	354	1074
248	355	1071
249	355	1067
250	356	1063
251	357	1060
252	358	1057
253	358	1054
254	359	1051
255	360	1049
256	361	1045
257	362	1042
258	363	1039
259	363	1035
260	364	1032
261	365	1029
262	366	1026
263	367	1023
264	367	1020
265	368	1018
266	369	1015
267	370	1012
268	371	1009
269	372	1007
270	373	1004
271	376	1006
272	377	1004
273	378	1001
274	379	999
275	379	996
276	380	994
277	381	991
278	382	989
279	383	987
280	384	984
281	385	981
282	386	979
283	387	976
284	388	974
285	389	973
286	390	971
287	391	968
288	392	966
289	393	963
290	394	961
291	395	958
292	396	956
293	397	954
294	398	951
295	399	949
296	400	946
297	400	944
298	401	942
299	402	939
300	403	937
301	405	936
302	406	933
303	406	931
304	407	929
305	408	926
306	409	924
307	410	922
308	411	919
309	412	917
310	413	915
311	413	912
312	414	910
313	415	908
314	416	905
315	417	903
316	418	901
317	419	900
318	420	898
319	421	896
320	422	894
321	423	892
322	424	889
323	425	888
324	426	885
325	427	883
326	428	881
327	429	879
328	430	877
329	431	875
330	432	873
331	433	871
332	434	870
333	435	869
334	436	866
335	437	864
336	438	862
337	439	860
338	440	858
339	441	856
340	442	855
341	443	853
342	444	851
343	445	849
344	446	847
345	447	846
346	448	844
347	450	844
348	451	842
349	453	841
350	454	839
351	455	837
352	456	835
353	457	834
354	458	832
355	459	830
356	460	828
357	460	826
358	461	824
359	462	822
360	463	821
361	465	819
362	466	818
363	467	816
364	468	814
365	469	812
366	470	810
367	470	808
368	471	807
369	472	805
370	473	803
371	474	801
372	475	799
373	476	798
374	477	796
375	479	795
376	480	793
377	481	791
378	482	790
379	483	788
380	484	786
381	485	784
382	485	782
383	486	780
384	487	778
385	488	777
386	489	775
387	490	773
388	491	771
389	492	770
390	493	768
391	495	767
392	496	766
393	497	764
394	497	762
395	498	760
396	499	759
397	500	757
398	501	755
399	502	753
400	503	752
401	504	750
402	505	748
403	506	746
404	507	744
405	507	743
406	509	741
407	510	740
408	511	738
409	511	736
410	512	734
411	513	733
412	514	731
413	515	729
414	516	727
415	517	725
416	517	724
417	518	722
418	519	720
419	520	719
420	521	717
421	522	715
422	523	713
423	524	713
424	525	711
425	526	709
426	527	708
427	528	706
428	529	704
429	530	703
430	531	701
431	532	699
432	533	698
433	533	696
434	534	694
435	535	692
436	536	691
437	537	689
438	538	687
439	539	686
440	540	685
441	541	683
442	542	682
443	543	680
444	544	678
445	545	677
446	546	675
447	547	674
448	548	672
449	549	671
450	549	669
451	550	667
452	551	666
453	552	664
454	554	663
455	555	662
456	556	660
457	557	659
458	557	657
459	558	655
460	559	654
461	560	652
462	561	651
463	562	649
464	563	648
465	564	646
466	565	645
467	566	643
468	567	642
469	568	640
470	569	639
471	570	638
472	571	636
473	572	634
474	572	633
475	573	631
476	574	630
477	575	628
478	576	627
479	577	625
480	578	623
481	579	622
482	580	620
483	581	619
484	582	618
485	583	616
486	584	615
487	585	614
488	586	612
489	587	611
490	588	609
491	589	608
492	590	606
493	591	605
494	592	603
495	592	602
496	593	601
497	594	599
498	595	598
499	597	597
500	598	596
501	599	594
502	600	593
503	601	591
504	602	590
505	603	588
506	604	587
507	605	585
508	606	584
509	606	583
510	607	581
511	608	580
512	609	578
513	610	577
514	611	575
515	612	574
516	613	573
517	614	571
518	615	570
519	616	569
520	617	567
521	618	566
522	619	564
523	620	563
524	621	561
525	621	560
526	622	558
527	623	557
528	624	556
529	625	554
530	626	553
531	627	551
532	628	550
533	629	549
534	630	548
535	631	546
536	632	545
537	633	543
538	634	542
539	635	541
540	636	539
541	636	538
542	637	536
543	638	535
544	639	533
545	640	532
546	641	531
547	642	529
548	643	528
549	644	527
550	645	525
551	646	524
552	647	523
553	647	521
554	648	520
555	649	518
556	650	517
557	651	516
558	652	514
559	653	513
560	654	512
561	655	510
562	656	509
563	657	508
564	658	506
565	659	505
566	660	504
567	661	502
568	662	501
569	662	500
570	663	498
571	664	497
572	665	496
