iter	Passed	Remaining
0	137	137384
1	138	68935
2	138	46100
3	139	34673
4	139	27829
5	140	23258
6	140	19993
7	141	17543
8	142	15639
9	142	14110
10	143	12864
11	143	11825
12	144	10944
13	144	10191
14	145	9536
15	145	8962
16	146	8456
17	146	8005
18	147	7601
19	147	7238
20	148	6914
21	148	6619
22	149	6352
23	150	6103
24	150	5876
25	151	5664
26	151	5468
27	152	5296
28	153	5133
29	153	4977
30	154	4830
31	155	4690
32	155	4561
33	156	4438
34	156	4323
35	157	4212
36	157	4107
37	158	4007
38	158	3912
39	159	3823
40	159	3738
41	160	3658
42	160	3581
43	161	3508
44	162	3438
45	162	3372
46	163	3308
47	163	3247
48	164	3188
49	164	3131
50	165	3076
51	165	3024
52	166	2974
53	167	2926
54	167	2883
55	168	2838
56	168	2795
57	169	2754
58	170	2714
59	170	2677
60	171	2639
61	172	2603
62	172	2568
63	173	2534
64	173	2501
65	174	2469
66	175	2438
67	175	2404
68	176	2375
69	176	2347
70	177	2320
71	178	2294
72	178	2269
73	179	2244
74	180	2220
75	180	2196
76	181	2173
77	181	2150
78	182	2130
79	183	2109
80	184	2088
81	184	2068
82	185	2048
83	186	2029
84	186	2008
85	187	1989
86	187	1969
87	188	1951
88	188	1934
89	189	1916
90	190	1900
91	190	1884
92	191	1867
93	192	1851
94	192	1836
95	193	1820
96	193	1805
97	194	1790
98	195	1776
99	195	1763
100	196	1749
101	196	1733
102	197	1721
103	198	1708
104	198	1696
105	199	1684
106	200	1672
107	201	1660
108	201	1649
109	202	1637
110	203	1626
111	203	1614
112	204	1603
113	204	1592
114	205	1581
115	205	1569
116	206	1559
117	207	1549
118	207	1537
119	208	1527
120	208	1517
121	209	1508
122	209	1496
123	210	1486
124	210	1476
125	211	1467
126	212	1458
127	212	1447
128	213	1438
129	213	1430
130	214	1421
131	214	1412
132	215	1404
133	216	1397
134	216	1389
135	217	1382
136	218	1375
137	218	1366
138	219	1359
139	220	1352
140	220	1345
141	221	1338
142	222	1331
143	222	1324
144	223	1317
145	223	1310
146	224	1303
147	225	1296
148	225	1289
149	226	1283
150	227	1276
151	227	1270
152	228	1264
153	229	1258
154	229	1252
155	230	1246
156	231	1241
157	231	1235
158	232	1229
159	233	1223
160	233	1217
161	234	1212
162	235	1206
163	235	1201
164	236	1195
165	236	1190
166	237	1185
167	238	1179
168	238	1174
169	239	1169
170	240	1164
171	240	1159
172	241	1153
173	242	1148
174	242	1144
175	243	1139
176	243	1134
177	244	1129
178	245	1124
179	245	1120
180	246	1114
181	247	1110
182	247	1106
183	248	1102
184	249	1097
185	249	1093
186	250	1088
187	251	1084
188	251	1079
189	252	1076
190	253	1071
191	253	1067
192	254	1063
193	254	1059
194	255	1055
195	256	1051
196	256	1047
197	257	1043
198	258	1039
199	258	1035
200	259	1031
201	260	1028
202	260	1024
203	261	1020
204	262	1016
205	262	1013
206	263	1009
207	263	1005
208	264	1001
209	265	997
210	265	993
211	266	989
212	266	985
213	267	982
214	268	978
215	268	975
216	269	972
217	269	968
218	270	965
219	271	961
220	271	958
221	272	955
222	273	951
223	273	948
224	274	945
225	275	942
226	275	938
227	276	935
228	276	932
229	277	928
230	278	925
231	278	922
232	279	918
233	279	915
234	280	911
235	280	908
236	281	905
237	281	902
238	282	899
239	282	895
240	283	892
241	283	889
242	284	886
243	284	882
244	285	879
245	286	876
246	286	873
247	287	870
248	287	868
249	288	865
250	289	862
251	289	859
252	290	857
253	291	854
254	291	852
255	292	849
256	292	846
257	293	843
258	294	841
259	294	838
